College_Name,Zone ,State,Stream,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life
"Dr. B R Ambedkar Institute of Technology, Port Blair ",Southern ,Andaman,Engineering,"12,083","4,780",0,0,0,0,0,0,0
"Dr. B R Ambedkar Institute of Technology, Port Blair ",Southern ,Andaman,Management,"4,780",0,0,0,0,0,0,0,0
Jawaharlal Nehru Rajkeeya Mahavidyalaya ,Southern ,Andaman,Management,843,0,6.6,8.5,5,7,7.5,2.5,9
"Dr. B R Ambedkar Institute of Technology, Port Blair ",Southern ,Andaman,Science,"29,964",0,0,0,0,0,0,0,0
Jawaharlal Nehru Rajkeeya Mahavidyalaya ,Southern ,Andaman,Science,939,"1,128",6.6,8.5,5,7,7.5,2.5,9
"Mahatma Gandhi Government College, Mayabander ",Southern ,Andaman,Science,"1,155",0,0,0,0,0,0,0,0
"Tagore Government College of Education, Port Blair ",Southern ,Andaman,Science,0,0,9,9,0,0,9,9,0
Jawaharlal Nehru Rajkeeya Mahavidyalaya ,Southern ,Andaman,Commerce,843,"1,008",6.6,8.5,5,7,7.5,2.5,9
"Mahatma Gandhi Government College, Mayabander ",Southern ,Andaman,Commerce,"1,155",0,0,0,0,0,0,0,0
Jawaharlal Nehru Rajkeeya Mahavidyalaya ,Southern ,Andaman,Arts,843,"1,008",6.6,8.5,5,7,7.5,2.5,9
"Mahatma Gandhi Government College, Mayabander ",Southern ,Andaman,Arts,"1,155",0,0,0,0,0,0,0,0
"Tagore Government College of Education, Port Blair ",Southern ,Andaman,Arts,0,0,9,9,0,0,9,9,0
"Dr. B R Ambedkar Institute of Technology, Port Blair ",Southern ,Andaman,Hotel-management,"4,780","11,980",0,0,0,0,0,0,0
Jawaharlal Nehru Rajkeeya Mahavidyalaya ,Southern ,Andaman,Agriculture,939,0,6.6,8.5,5,7,7.5,2.5,9
Andaman & Nicobar Islands Institute of Medical Sciences ,Southern ,Andaman,Medical,"91,050",0,8.3,8.6,8.4,8.4,8.3,8.2,8.1
K L University ,Southern ,Andhra pradesh,Engineering,"2,50,000","1,45,000",8.3,8.5,7.6,8.3,8.8,8.3,8.2
"Andhra University, College of Engineering ",Southern ,Andhra pradesh,Engineering,"10,000","1,09,000",7.7,8.2,6.9,7.8,8,7.2,7.9
"Sri Venkateswara University College of Engineering, Tirupati ",Southern ,Andhra pradesh,Engineering,"16,395","31,647",7.8,7.6,8.4,7.4,8.1,6.9,8.1
"Vignan’s Foundation for Science, Technology, and Research, ",Southern ,Andhra pradesh,Engineering,"2,50,000","1,10,000",8.2,8.2,8.4,8.5,8.2,7.7,8.4
"JNTUK University College of Engineering, Kakinada, East ",Southern ,Andhra pradesh,Engineering,"10,000","30,000",7.7,8,7.1,7.8,8.2,7,8.3
Sree Vidyanikethan Engineering College ,Southern ,Andhra pradesh,Engineering,"2,80,000","76,850",8.5,8.4,8.5,8.3,8.8,8.4,8.6
G. Pulla Reddy Engineering College ,Southern ,Andhra pradesh,Engineering,"80,000","80,000",8.3,8.5,7.7,8.5,8.5,8.2,8.4
Sri Venkateswara College of Engineering and Technology ,Southern ,Andhra pradesh,Engineering,"89,350","75,000",7.9,8.3,7.9,8,8.2,7.3,7.5
Velagapudi Ramakrishna Siddhartha Engineering College ,Southern ,Andhra pradesh,Engineering,"71,050","70,000",8.2,8.6,7.6,8.4,8.4,8.2,8.1
Shri Vishnu Engineering College for Women ,Southern ,Andhra pradesh,Engineering,"95,000","55,000",8.8,8.7,8.6,8.5,9.3,8.8,9
"JNTUA College of Engineering, Ananthapur ",Southern ,Andhra pradesh,Engineering,"25,000","38,750",7,7.1,7.3,6.7,7.5,6.3,7.3
Sagi Ramakrishnam Raju Engineering College ,Southern ,Andhra pradesh,Engineering,"30,000","57,000",8.2,8.5,7.5,8.4,8.3,8.2,8.3
Gayatri Vidya Parishad College of Engineering ,Southern ,Andhra pradesh,Engineering,"2,76,000","1,00,000",7.7,8.3,6.8,8,7.3,8.1,7.4
Jawaharlal Nehru Technological University ,Southern ,Andhra pradesh,Engineering,"1,00,000",0,7.4,7.7,6.8,7.1,7.7,7.1,7.8
Indian Institute of Technology ,Southern ,Andhra pradesh,Engineering,"16,950","78,218",8.6,9,8.1,8.8,8.7,8.2,8.9
Prasad V. Potluri Siddhartha Institute of Technology ,Southern ,Andhra pradesh,Engineering,"2,80,000","1,40,000",7.9,8.1,7.3,8.1,8.1,7.9,7.8
Centurion University of Technology and Management ,Southern ,Andhra pradesh,Engineering,"1,25,000","60,000",7.8,8,7.2,8.3,7.6,7.4,8.3
Aditya Engineering College ,Southern ,Andhra pradesh,Engineering,"72,000","29,500",7.8,7.9,7.4,7.8,8.5,7.4,7.9
Bapatla Engineering College ,Southern ,Andhra pradesh,Engineering,"75,000","90,000",7.5,7.8,7.3,7.7,8.2,6.5,7.7
Gudlavalleru Engineering College ,Southern ,Andhra pradesh,Engineering,"81,600","74,850",8.2,8.5,7.7,8.4,8.7,7.5,8.1
Sri Venkateswara College of Engineering ,Southern ,Andhra pradesh,Engineering,"80,000","75,000",8.3,8.3,8,8.1,9,7.8,8.5
Sri Vasavi Engineering College ,Southern ,Andhra pradesh,Engineering,"1,89,000","60,850",7.9,8.1,7.4,8,8.3,7.6,7.8
Indian Institute of Information Technology Sri City ,Southern ,Andhra pradesh,Engineering,"1,03,000","2,71,000",7,7.9,6.4,7.1,6.9,7.3,6.4
National Institute of Technology ,Southern ,Andhra pradesh,Engineering,"1,87,500","1,00,000",7.2,7.9,6.6,7.5,6.9,6.9,7.2
"Rajiv Gandhi University of Knowledge Technologies -[RGUKT], ",Southern ,Andhra pradesh,Engineering,"39,000","96,000",8.2,8.4,7.6,8.1,8.9,7.7,8.5
Raghu Engineering College ,Southern ,Andhra pradesh,Engineering,"85,000","57,000",8.1,8.3,7.1,8.1,8.4,8.5,8
Indian Institute of Information Technology Design and ,Southern ,Andhra pradesh,Engineering,"1,44,600","67,500",7.4,7.9,7.6,8,6.7,7.2,7.2
Rajeev Gandhi Memorial College of Engineering and ,Southern ,Andhra pradesh,Engineering,"69,100","62,800",7.4,7.8,7.2,7.6,8,6.2,7.4
VIT University ,Southern ,Andhra pradesh,Engineering,"1,98,000","1,93,000",8.2,8.3,7.9,8.3,8.1,8.4,8.1
IFMR Graduate School of Business ,Southern ,Andhra pradesh,Management,"7,18,000",0,8.2,8.3,8.1,8.4,8.3,8.5,7.8
K L University Business School ,Southern ,Andhra pradesh,Management,"1,85,000","2,85,000",8.5,8.4,8.4,9,9.2,7.4,8.7
GITAM Institute of Management ,Southern ,Andhra pradesh,Management,"2,10,000","3,96,000",8.5,8.6,7.3,8.8,9.2,8.4,8.7
K L University ,Southern ,Andhra pradesh,Management,"2,85,000","1,85,000",8.3,8.5,7.6,8.3,8.8,8.3,8.2
"Krea University, Sri City ",Southern ,Andhra pradesh,Management,"13,86,000",0,8.6,8.2,8.6,8.7,8.6,8.8,8.8
Indian Institute of Management Visakhapatnam ,Southern ,Andhra pradesh,Management,"14,33,250","16,50,000",8.9,8.8,9,9,8.8,8.8,8.8
GEMS B School ,Southern ,Andhra pradesh,Management,"2,50,000","3,60,000",9.1,9.5,8.5,9.5,9,9,9
VIT University ,Southern ,Andhra pradesh,Management,"2,75,000","43,000",8.2,8.3,7.9,8.3,8.1,8.4,8.1
Sri Venkateswara University ,Southern ,Andhra pradesh,Management,"23,200",0,8.1,7.9,8.3,8.2,7.9,7.7,8.4
"SRM University, Amaravathi ",Southern ,Andhra pradesh,Management,"2,60,000","2,95,000",8.7,8.7,8.1,9.2,9.2,8.4,8.4
Indian Institute of Tourism and Travel Management ,Southern ,Andhra pradesh,Management,"1,08,850","1,88,600",8.4,9.3,8.5,9,8.2,8,7.5
Integral Institute of Advanced Management ,Southern ,Andhra pradesh,Management,"1,60,000",0,6.9,7.2,4.4,7.6,7.2,7.2,8
"Risali Institute of Management, Visakhapatnam ",Southern ,Andhra pradesh,Management,0,0,8.4,8.2,8.3,8.3,8.8,8.4,8.4
"Sree Vidyanikethan Institute of Management, Tirupati ",Southern ,Andhra pradesh,Management,"74,000",0,8.6,8.6,8.4,8.7,8.7,8.1,8.8
Accord Business School ,Southern ,Andhra pradesh,Management,"45,000",0,0,0,0,0,0,0,0
VIT-AP School of Business ,Southern ,Andhra pradesh,Management,"2,75,000","43,000",8.1,8.8,8.3,8.3,7.8,7.8,7.8
Nimra College of Business Management ,Southern ,Andhra pradesh,Management,"34,000",0,7.5,9,5,9,0,0,0
"Wings Business School, Tirupati ",Southern ,Andhra pradesh,Management,"50,000",0,6.8,6.6,7.2,6.5,6.5,6.9,7.1
Sun International Institute for Tourism & Management- ,Southern ,Andhra pradesh,Management,"1,30,500","1,60,500",7.9,8.4,7.3,7.5,7.8,8.5,7.7
